SKU,Attribute Set
3000185,"sku=3000185001,color=01 -Color Me Copper,size=0.68 fl.oz / 20 ml|sku=3000185002,color=02 -Heart Of Gold,size=0.68 fl.oz / 20 ml|sku=3000185003,color=03 -Silver Lining,size=0.68 fl.oz / 20 ml|sku=3000185004,color=04 -Holine Bling,size=0.68 fl.oz / 20 ml"
3000186,"sku=3000186001,color=Dawn,size=1.01 fl.oz / 30 ml|sku=3000186002,color=Ice,size=1.01 fl.oz / 30 ml|sku=3000186003,color=Gold,size=0.68 fl.oz / 20 ml|sku=3000186004,color=Silver,size=0.68 fl.oz / 20 ml|sku=3000186005,color=Peach,size=0.68 fl.oz / 20 ml"
3000187,"sku=3000187001,color=01 -Ice Cold,size=7.5 g / 0.26 oz|sku=3000187002,color=02 -Iconic,size=7.5 g / 0.26 oz|sku=3000187003,color=03 -Boss Moves,size=7.5 g / 0.26 oz|sku=3000187004,color=04 -Blind Bling,size=7.5 g / 0.26 oz|sku=3000187005,color=05 -Girl Gotta Slay,size=7.5 g / 0.26 oz|sku=3000187006,color=06 -Serving Glamour,size=7.5 g / 0.26 oz|sku=3000187007,color=07 -Timeline Queen,size=7.5 g / 0.26 oz|sku=3000187008,color=08 -Killer Vibes,size=7.5 g / 0.26 oz|sku=3000187009,color=09 -Pinkvilla Diva,size=7.5 g / 0.26 oz|sku=3000187010,color=10 -Drop Dead Gorgeous,size=7.5 g / 0.26 oz|sku=3000187011,color=11 -Showstopper,size=7.5 g / 0.26 oz|sku=3000187012,color=12 -Worldwide Hit,size=7.5 g / 0.26 oz|sku=3000187013,color=13 -Bling Affair,size=7.5 g / 0.26 oz|sku=3000187014,color=14 -High Standards,size=7.5 g / 0.26 oz"
3000188,"sku=3000188001,color=01 -Gold,size=5 g / 0.18 oz|sku=3000188002,color=02 -Sunset Gold,size=5 g / 0.18 oz|sku=3000188003,color=03 -Pink,size=5 g / 0.18 oz|sku=3000188004,color=04 -Day Dream,size=5 g / 0.18 oz|sku=3000188005,color=05 -Spell Bound,size=5 g / 0.18 oz|sku=3000188006,color=06 -Sun Kissed,size=5 g / 0.18 oz"
3000189,"sku=3000189001,color=05,size=0.12 fl.oz / 3.5 ml|sku=3000189002,color=09,size=0.12 fl.oz / 3.5 ml"
3000190,"sku=3000190001,color=01 -Sand Dunes,size=2 g / 0.07 oz|sku=3000190002,color=02 -Blend In,size=2 g / 0.07 oz|sku=3000190003,color=03 -Caramelly Yours,size=2 g / 0.07 oz|sku=3000190004,color=04 -Tamarind,size=2 g / 0.07 oz|sku=3000190005,color=05 -Toffee,size=2 g / 0.07 oz|sku=3000190006,color=06 -Mudpie,size=2 g / 0.07 oz|sku=3000190007,color=07 -Latte,size=2 g / 0.07 oz|sku=3000190008,color=08 -Jade,size=2 g / 0.07 oz|sku=3000190009,color=09 -Rover,size=2 g / 0.07 oz|sku=3000190010,color=10 -Hazelnut,size=2 g / 0.07 oz|sku=3000190011,color=11 -Brown Sugar,size=2 g / 0.07 oz|sku=3000190012,color=12 -Barren,size=2 g / 0.07 oz|sku=3000190013,color=13 -Jinx,size=2 g / 0.07 oz|sku=3000190014,color=14 -Brunette,size=2 g / 0.07 oz|sku=3000190015,color=15 -Red Soil,size=2 g / 0.07 oz|sku=3000190016,color=16 -Dark Knight,size=2 g / 0.07 oz|sku=3000190017,color=17 -Woodstock,size=2 g / 0.07 oz|sku=3000190018,color=18 -Sandalwood,size=2 g / 0.07 oz|sku=3000190019,color=19 -Beige Touch,size=2 g / 0.07 oz|sku=3000190020,color=20 -Earthy,size=2 g / 0.07 oz|sku=3000190021,color=21 -Pecan,size=2 g / 0.07 oz|sku=3000190022,color=22 -Tangy Times,size=2 g / 0.07 oz|sku=3000190023,color=23 -Dreamer,size=2 g / 0.07 oz|sku=3000190024,color=24 -Hot Chocolate,size=2 g / 0.07 oz|sku=3000190025,color=25 -Fudge,size=2 g / 0.07 oz|sku=3000190026,color=26 -Feminist,size=2 g / 0.07 oz|sku=3000190027,color=27 -Viola,size=2 g / 0.07 oz|sku=3000190028,color=28 -Firestone,size=2 g / 0.07 oz|sku=3000190029,color=29 -Evergreen,size=2 g / 0.07 oz|sku=3000190030,color=30 -Paparazzi,size=2 g / 0.07 oz|sku=3000190031,color=31 -Florence,size=2 g / 0.07 oz|sku=3000190032,color=32 -Royalty,size=2 g / 0.07 oz|sku=3000190033,color=33 -Beautiful Sin,size=2 g / 0.07 oz|sku=3000190034,color=34 -Confidence,size=2 g / 0.07 oz|sku=3000190035,color=35 -Rosemary,size=2 g / 0.07 oz|sku=3000190036,color=36 -Fire Wood,size=2 g / 0.07 oz|sku=3000190037,color=37 -Vanilla Shake,size=2 g / 0.07 oz|sku=3000190038,color=38 -Drama Queen,size=2 g / 0.07 oz|sku=3000190039,color=39 -Marron,size=2 g / 0.07 oz|sku=3000190040,color=40 -Chocolate Pudding,size=2 g / 0.07 oz|sku=3000190041,color=41 -Peachy,size=2 g / 0.07 oz|sku=3000190042,color=42 -Brown Sugar,size=2 g / 0.07 oz|sku=3000190043,color=43 -Auburn,size=2 g / 0.07 oz|sku=3000190044,color=44 -Wood,size=2 g / 0.07 oz|sku=3000190045,color=45 -Persian Orange,size=2 g / 0.07 oz|sku=3000190046,color=46 -Orange Candy,size=2 g / 0.07 oz|sku=3000190047,color=47 -Sweet Coffee,size=2 g / 0.07 oz|sku=3000190048,color=48 -Soft Marigold,size=2 g / 0.07 oz|sku=3000190049,color=49 -Tiramisu,size=2 g / 0.07 oz|sku=3000190050,color=50 -Ebony,size=2 g / 0.07 oz|sku=3000190051,color=51 -Feather Touch,size=2 g / 0.07 oz|sku=3000190052,color=52 -Pinky Dust,size=2 g / 0.07 oz|sku=3000190053,color=53 -Teen Dreams,size=2 g / 0.07 oz|sku=3000190054,color=54 -Enchanted,size=2 g / 0.07 oz|sku=3000190055,color=55 -High Heels,size=2 g / 0.07 oz"
3000191,"sku=3000191001,color=01 -Frost,size=2 g / 0.07 oz|sku=3000191002,color=02 -Moonlight,size=2 g / 0.07 oz|sku=3000191003,color=03 -Ivory,size=2 g / 0.07 oz|sku=3000191004,color=04 -Aura,size=2 g / 0.07 oz|sku=3000191005,color=05 -Rose,size=2 g / 0.07 oz|sku=3000191006,color=06 -Mystique,size=2 g / 0.07 oz|sku=3000191007,color=07 -Luminous,size=2 g / 0.07 oz|sku=3000191008,color=08 -Sun -Kissed,size=2 g / 0.07 oz|sku=3000191009,color=09 -Promise,size=2 g / 0.07 oz|sku=3000191010,color=10 -Bling,size=2 g / 0.07 oz|sku=3000191011,color=11 -Mellow,size=2 g / 0.07 oz|sku=3000191012,color=12 -Sunlit,size=2 g / 0.07 oz|sku=3000191013,color=13 -Ablaze,size=2 g / 0.07 oz|sku=3000191014,color=14 -Glided,size=2 g / 0.07 oz|sku=3000191015,color=15 -Apricot,size=2 g / 0.07 oz|sku=3000191016,color=16 -Dandelion,size=2 g / 0.07 oz|sku=3000191017,color=17 -Honey,size=2 g / 0.07 oz|sku=3000191018,color=18 -Carnelian,size=2 g / 0.07 oz|sku=3000191019,color=19 -Titanium,size=2 g / 0.07 oz|sku=3000191020,color=20 -Antique Rose,size=2 g / 0.07 oz|sku=3000191021,color=21 -Goddess,size=2 g / 0.07 oz|sku=3000191022,color=22 -Glory,size=2 g / 0.07 oz|sku=3000191023,color=23 -Dreamer,size=2 g / 0.07 oz|sku=3000191024,color=24 -Brew,size=2 g / 0.07 oz|sku=3000191025,color=25 -Hazelnut,size=2 g / 0.07 oz|sku=3000191026,color=26 -Champagne,size=2 g / 0.07 oz|sku=3000191027,color=27 -Tarnish,size=2 g / 0.07 oz|sku=3000191028,color=28 -Firestone,size=2 g / 0.07 oz|sku=3000191029,color=29 -Phoenix,size=2 g / 0.07 oz|sku=3000191030,color=30 -Temptress,size=2 g / 0.07 oz|sku=3000191031,color=31 -Duchess,size=2 g / 0.07 oz|sku=3000191032,color=32 -Sorbet,size=2 g / 0.07 oz|sku=3000191033,color=33 -Cotton Candy,size=2 g / 0.07 oz|sku=3000191034,color=34 -Flamingo,size=2 g / 0.07 oz|sku=3000191035,color=35 -Vintage,size=2 g / 0.07 oz|sku=3000191036,color=36 -Copper,size=2 g / 0.07 oz|sku=3000191037,color=37 -Malibu,size=2 g / 0.07 oz|sku=3000191038,color=38 -Lavender,size=2 g / 0.07 oz|sku=3000191039,color=39 -Imperial,size=2 g / 0.07 oz|sku=3000191040,color=40 -Unicorn,size=2 g / 0.07 oz|sku=3000191041,color=41 -Mercury,size=2 g / 0.07 oz|sku=3000191042,color=42 -Soul,size=2 g / 0.07 oz|sku=3000191043,color=43 -Sun Burst,size=2 g / 0.07 oz|sku=3000191044,color=44 -Wet Sand,size=2 g / 0.07 oz|sku=3000191045,color=45 -Radiant,size=2 g / 0.07 oz|sku=3000191046,color=46 -Lustre,size=2 g / 0.07 oz|sku=3000191047,color=47 -Platinum,size=2 g / 0.07 oz|sku=3000191048,color=48 -Flower Fairy,size=2 g / 0.07 oz|sku=3000191049,color=49 -Metal Pearl,size=2 g / 0.07 oz|sku=3000191050,color=50 -Tin,size=2 g / 0.07 oz|sku=3000191051,color=51 -Sable Bing,size=2 g / 0.07 oz|sku=3000191052,color=52 -Raw Silk,size=2 g / 0.07 oz|sku=3000191053,color=53 -Crescent Moon,size=2 g / 0.07 oz|sku=3000191054,color=54 -Forest Night,size=2 g / 0.07 oz|sku=3000191055,color=55 -Henna,size=2 g / 0.07 oz|sku=3000191056,color=56 -Grapes & Sour,size=2 g / 0.07 oz|sku=3000191057,color=57 -Wink,size=2 g / 0.07 oz|sku=3000191058,color=58 -Golden Dewdrop,size=2 g / 0.07 oz|sku=3000191059,color=59 -Angel Light,size=2 g / 0.07 oz|sku=3000191060,color=60 -Fire Dust,size=2 g / 0.07 oz|sku=3000191061,color=61 -Creeper,size=2 g / 0.07 oz|sku=3000191062,color=62 -Smoked Plum,size=2 g / 0.07 oz|sku=3000191063,color=63 -Gold Smith,size=2 g / 0.07 oz|sku=3000191064,color=64 -Molten Gold,size=2 g / 0.07 oz|sku=3000191065,color=65 -Desert Sunset,size=2 g / 0.07 oz|sku=3000191066,color=66 -Sunny,size=2 g / 0.07 oz|sku=3000191067,color=67 -Gulmohar,size=2 g / 0.07 oz|sku=3000191068,color=68 -Cuprum,size=2 g / 0.07 oz|sku=3000191069,color=69 -Princess,size=2 g / 0.07 oz|sku=3000191070,color=70 -Yellow Metal,size=2 g / 0.07 oz|sku=3000191071,color=71 -Naked,size=2 g / 0.07 oz|sku=3000191072,color=72 -Sunclub,size=2 g / 0.07 oz|sku=3000191073,color=73 -Shadow,size=2 g / 0.07 oz|sku=3000191074,color=74 -Chisel,size=2 g / 0.07 oz|sku=3000191075,color=75 -Hazel,size=2 g / 0.07 oz|sku=3000191076,color=76 -Slate,size=2 g / 0.07 oz|sku=3000191077,color=77 -Gleam,size=2 g / 0.07 oz|sku=3000191078,color=78 -Flame,size=2 g / 0.07 oz|sku=3000191079,color=79 -Cold Lava,size=2 g / 0.07 oz|sku=3000191080,color=80 -Linen,size=2 g / 0.07 oz|sku=3000191081,color=81 -Blanko,size=2 g / 0.07 oz|sku=3000191082,color=82 -Aurora,size=2 g / 0.07 oz|sku=3000191083,color=83 -Crown,size=2 g / 0.07 oz|sku=3000191084,color=84 -Autumn Breeze,size=2 g / 0.07 oz|sku=3000191085,color=85 -Mahogany Silk,size=2 g / 0.07 oz|sku=3000191086,color=86 -Deep Coco,size=2 g / 0.07 oz|sku=3000191087,color=87 -Ka -Ching,size=2 g / 0.07 oz|sku=3000191088,color=88 -Copper Goddess,size=2 g / 0.07 oz|sku=3000191089,color=89 -Rose Champagne,size=2 g / 0.07 oz|sku=3000191090,color=90 -Goddess,size=2 g / 0.07 oz|sku=3000191091,color=91 -Gold Lake,size=2 g / 0.07 oz|sku=3000191092,color=92 -Oreo Dust,size=2 g / 0.07 oz|sku=3000191093,color=93 -Champagne Glaze,size=2 g / 0.07 oz|sku=3000191094,color=94 -Miss Behave,size=2 g / 0.07 oz|sku=3000191095,color=95 -High Voltage,size=2 g / 0.07 oz|sku=3000191096,color=96 -Cool Breeze,size=2 g / 0.07 oz|sku=3000191097,color=97 -Dessert Night,size=2 g / 0.07 oz|sku=3000191098,color=98 -Guilty Pleasure,size=2 g / 0.07 oz"
3000192,"sku=3000192001,color=001,size=2 g / 0.07 oz|sku=3000192002,color=002,size=2 g / 0.07 oz|sku=3000192003,color=003,size=2 g / 0.07 oz|sku=3000192004,color=004,size=2 g / 0.07 oz|sku=3000192005,color=005,size=2 g / 0.07 oz|sku=3000192006,color=006,size=2 g / 0.07 oz|sku=3000192007,color=007,size=2 g / 0.07 oz|sku=3000192008,color=008,size=2 g / 0.07 oz|sku=3000192009,color=009,size=2 g / 0.07 oz|sku=3000192010,color=010,size=2 g / 0.07 oz|sku=3000192011,color=011,size=2 g / 0.07 oz|sku=3000192012,color=012,size=2 g / 0.07 oz|sku=3000192013,color=013,size=2 g / 0.07 oz|sku=3000192014,color=014,size=2 g / 0.07 oz|sku=3000192015,color=015,size=2 g / 0.07 oz|sku=3000192016,color=016,size=2 g / 0.07 oz|sku=3000192017,color=017,size=2 g / 0.07 oz|sku=3000192018,color=018,size=2 g / 0.07 oz|sku=3000192019,color=019,size=2 g / 0.07 oz|sku=3000192020,color=020,size=2 g / 0.07 oz|sku=3000192021,color=021,size=2 g / 0.07 oz|sku=3000192022,color=022,size=2 g / 0.07 oz|sku=3000192023,color=023,size=2 g / 0.07 oz|sku=3000192024,color=024,size=2 g / 0.07 oz|sku=3000192025,color=025,size=2 g / 0.07 oz|sku=3000192026,color=026,size=2 g / 0.07 oz|sku=3000192027,color=027,size=2 g / 0.07 oz|sku=3000192028,color=028,size=2 g / 0.07 oz|sku=3000192029,color=029,size=2 g / 0.07 oz|sku=3000192030,color=030,size=2 g / 0.07 oz|sku=3000192031,color=031,size=2 g / 0.07 oz|sku=3000192032,color=032,size=2 g / 0.07 oz|sku=3000192033,color=033,size=2 g / 0.07 oz|sku=3000192034,color=034,size=2 g / 0.07 oz|sku=3000192035,color=035,size=2 g / 0.07 oz|sku=3000192036,color=036,size=2 g / 0.07 oz|sku=3000192037,color=037,size=2 g / 0.07 oz|sku=3000192038,color=038,size=2 g / 0.07 oz|sku=3000192039,color=039,size=2 g / 0.07 oz|sku=3000192040,color=040,size=2 g / 0.07 oz|sku=3000192041,color=041,size=2 g / 0.07 oz|sku=3000192042,color=042,size=2 g / 0.07 oz|sku=3000192043,color=043,size=2 g / 0.07 oz|sku=3000192044,color=044,size=2 g / 0.07 oz|sku=3000192045,color=045,size=2 g / 0.07 oz|sku=3000192046,color=046,size=2 g / 0.07 oz|sku=3000192047,color=047,size=2 g / 0.07 oz|sku=3000192048,color=048,size=2 g / 0.07 oz|sku=3000192049,color=049,size=2 g / 0.07 oz|sku=3000192050,color=050,size=2 g / 0.07 oz|sku=3000192051,color=051,size=2 g / 0.07 oz|sku=3000192052,color=052,size=2 g / 0.07 oz|sku=3000192053,color=053,size=2 g / 0.07 oz|sku=3000192054,color=054,size=2 g / 0.07 oz|sku=3000192055,color=055,size=2 g / 0.07 oz|sku=3000192056,color=056,size=2 g / 0.07 oz|sku=3000192057,color=057,size=2 g / 0.07 oz|sku=3000192058,color=058,size=2 g / 0.07 oz|sku=3000192059,color=059,size=2 g / 0.07 oz|sku=3000192060,color=060,size=2 g / 0.07 oz|sku=3000192061,color=061,size=2 g / 0.07 oz|sku=3000192062,color=062,size=2 g / 0.07 oz|sku=3000192063,color=063,size=2 g / 0.07 oz|sku=3000192064,color=064,size=2 g / 0.07 oz|sku=3000192065,color=065,size=2 g / 0.07 oz|sku=3000192066,color=066,size=2 g / 0.07 oz|sku=3000192067,color=067,size=2 g / 0.07 oz|sku=3000192068,color=068,size=2 g / 0.07 oz|sku=3000192069,color=069,size=2 g / 0.07 oz|sku=3000192070,color=070,size=2 g / 0.07 oz|sku=3000192071,color=071,size=2 g / 0.07 oz|sku=3000192072,color=072,size=2 g / 0.07 oz|sku=3000192073,color=073,size=2 g / 0.07 oz|sku=3000192074,color=074,size=2 g / 0.07 oz|sku=3000192075,color=075,size=2 g / 0.07 oz|sku=3000192076,color=076,size=2 g / 0.07 oz|sku=3000192077,color=077,size=2 g / 0.07 oz|sku=3000192078,color=078,size=2 g / 0.07 oz|sku=3000192079,color=079,size=2 g / 0.07 oz|sku=3000192080,color=080,size=2 g / 0.07 oz|sku=3000192081,color=081,size=2 g / 0.07 oz|sku=3000192082,color=082,size=2 g / 0.07 oz|sku=3000192083,color=083,size=2 g / 0.07 oz|sku=3000192084,color=084,size=2 g / 0.07 oz|sku=3000192085,color=085,size=2 g / 0.07 oz|sku=3000192086,color=086,size=2 g / 0.07 oz|sku=3000192087,color=087,size=2 g / 0.07 oz|sku=3000192088,color=088,size=2 g / 0.07 oz|sku=3000192089,color=089,size=2 g / 0.07 oz|sku=3000192090,color=090,size=2 g / 0.07 oz|sku=3000192091,color=091,size=2 g / 0.07 oz|sku=3000192092,color=092,size=2 g / 0.07 oz|sku=3000192093,color=093,size=2 g / 0.07 oz|sku=3000192094,color=094,size=2 g / 0.07 oz|sku=3000192095,color=095,size=2 g / 0.07 oz|sku=3000192096,color=096,size=2 g / 0.07 oz|sku=3000192097,color=097,size=2 g / 0.07 oz|sku=3000192098,color=098,size=2 g / 0.07 oz|sku=3000192099,color=099,size=2 g / 0.07 oz|sku=3000192100,color=100,size=2 g / 0.07 oz"
3000193,"sku=3000193001,color=01,size=2.5 g / 0.09 oz|sku=3000193002,color=02,size=2.5 g / 0.09 oz|sku=3000193003,color=03,size=2.5 g / 0.09 oz|sku=3000193004,color=04,size=2.5 g / 0.09 oz|sku=3000193005,color=05,size=2.5 g / 0.09 oz|sku=3000193006,color=06,size=2.5 g / 0.09 oz|sku=3000193007,color=07,size=2.5 g / 0.09 oz|sku=3000193008,color=08,size=2.5 g / 0.09 oz|sku=3000193009,color=09,size=2.5 g / 0.09 oz|sku=3000193010,color=10,size=2.5 g / 0.09 oz|sku=3000193011,color=11,size=2.5 g / 0.09 oz|sku=3000193012,color=12,size=2.5 g / 0.09 oz|sku=3000193013,color=13,size=2.5 g / 0.09 oz|sku=3000193014,color=14,size=2.5 g / 0.09 oz|sku=3000193015,color=15,size=2.5 g / 0.09 oz|sku=3000193016,color=16,size=2.5 g / 0.09 oz|sku=3000193017,color=17,size=2.5 g / 0.09 oz|sku=3000193018,color=18,size=2.5 g / 0.09 oz"
3000194,"sku=3000194001,color=HP -201,size=1.5 g / 0.05 oz|sku=3000194002,color=HP -202,size=1.5 g / 0.05 oz|sku=3000194003,color=HP -203,size=1.5 g / 0.05 oz|sku=3000194004,color=HP -204,size=1.5 g / 0.05 oz|sku=3000194005,color=HP -205,size=1.5 g / 0.05 oz|sku=3000194006,color=HP -206,size=1.5 g / 0.05 oz|sku=3000194007,color=HP -207,size=1.5 g / 0.05 oz|sku=3000194008,color=HP -208,size=1.5 g / 0.05 oz|sku=3000194009,color=HP -209,size=1.5 g / 0.05 oz|sku=3000194010,color=HP -210,size=1.5 g / 0.05 oz|sku=3000194011,color=HP -211,size=1.5 g / 0.05 oz|sku=3000194012,color=HP -212,size=1.5 g / 0.05 oz|sku=3000194013,color=HP -213,size=1.5 g / 0.05 oz|sku=3000194014,color=HP -214,size=1.5 g / 0.05 oz|sku=3000194015,color=HP -215,size=1.5 g / 0.05 oz|sku=3000194016,color=HP -216,size=1.5 g / 0.05 oz"
3000195,"sku=3000195001,color=01 -Angel Kiss,size=3 g / 0.11 oz|sku=3000195002,color=02 -First Dance,size=3 g / 0.11 oz|sku=3000195003,color=03 -Richie Rich,size=3 g / 0.11 oz|sku=3000195004,color=04 -Eternal Beauty,size=3 g / 0.11 oz|sku=3000195005,color=05 -Throne,size=3 g / 0.11 oz|sku=3000195006,color=06 -Treasure,size=3 g / 0.11 oz|sku=3000195007,color=07 -Sea Weed,size=3 g / 0.11 oz|sku=3000195008,color=08 -Touch Me Not,size=3 g / 0.11 oz|sku=3000195009,color=09 -Forbidden Love,size=3 g / 0.11 oz|sku=3000195010,color=10 -Red Velvet,size=3 g / 0.11 oz|sku=3000195011,color=11 -Moody,size=3 g / 0.11 oz|sku=3000195012,color=12 -Sink In Pink,size=3 g / 0.11 oz|sku=3000195013,color=13 -Ocean Waves,size=3 g / 0.11 oz|sku=3000195014,color=14 -Sun Kissed,size=3 g / 0.11 oz|sku=3000195015,color=15 -Thunder Storm,size=3 g / 0.11 oz|sku=3000195016,color=16 -Sweet Romance,size=3 g / 0.11 oz|sku=3000195017,color=17 -Glimpse Of Gold,size=3 g / 0.11 oz|sku=3000195018,color=18 -Chasing The Stars,size=3 g / 0.11 oz"
3000196,"sku=3000196001,color=01 -Bling -In,size=3 g / 0.11 oz|sku=3000196002,color=02 -Dainty,size=3 g / 0.11 oz|sku=3000196003,color=03 -Sneak Peek,size=3 g / 0.11 oz|sku=3000196004,color=04 -Glitterati,size=3 g / 0.11 oz|sku=3000196005,color=05 -Emerald Bay,size=3 g / 0.11 oz|sku=3000196006,color=06 -Mer -Babes,size=3 g / 0.11 oz|sku=3000196007,color=07 -Oh Boy!,size=3 g / 0.11 oz|sku=3000196008,color=08 -Baby Girl,size=3 g / 0.11 oz|sku=3000196009,color=09 -Made In Heaven,size=3 g / 0.11 oz|sku=3000196010,color=10 -Cupid,size=3 g / 0.11 oz|sku=3000196011,color=11 -Free Spirit,size=3 g / 0.11 oz|sku=3000196012,color=12 -Extra,size=3 g / 0.11 oz|sku=3000196013,color=13 -Be My Valentine,size=3 g / 0.11 oz|sku=3000196014,color=14 -Red Alert,size=3 g / 0.11 oz|sku=3000196015,color=15 -Take Me Back,size=3 g / 0.11 oz"
3000197,"sku=3000197001,color=01 -Snowball,size=2.1 g / 0.07 oz|sku=3000197002,color=02 -Lemon Tart,size=2.1 g / 0.07 oz|sku=3000197003,color=03 -Silver Ray,size=2.1 g / 0.07 oz|sku=3000197004,color=04 -Fashionista,size=2.1 g / 0.07 oz|sku=3000197005,color=05 -Hollywood Calling,size=2.1 g / 0.07 oz|sku=3000197006,color=06 -Goblet,size=2.1 g / 0.07 oz|sku=3000197007,color=07 -Tease,size=2.1 g / 0.07 oz|sku=3000197008,color=08 -Runway Star,size=2.1 g / 0.07 oz|sku=3000197009,color=09 -Infinity,size=2.1 g / 0.07 oz|sku=3000197010,color=10 -Ripples,size=2.1 g / 0.07 oz|sku=3000197011,color=11 -Enchanted,size=2.1 g / 0.07 oz|sku=3000197012,color=12 -Luxury,size=2.1 g / 0.07 oz|sku=3000197013,color=13 -Middle East,size=2.1 g / 0.07 oz|sku=3000197014,color=14 -Hail The Queen,size=2.1 g / 0.07 oz|sku=3000197015,color=15 -Girl Gang,size=2.1 g / 0.07 oz|sku=3000197016,color=16 -Ignite,size=2.1 g / 0.07 oz|sku=3000197017,color=17 -Hall Of Fame,size=2.1 g / 0.07 oz|sku=3000197018,color=18 -Not Your Type,size=2.1 g / 0.07 oz|sku=3000197019,color=19 -Shopaholic,size=2.1 g / 0.07 oz|sku=3000197020,color=20 -Sunset In Cabana,size=2.1 g / 0.07 oz"
3000198,"sku=3000198001,color=01 -Starry Night,size=3 g / 0.11 oz|sku=3000198002,color=02 -Party Animal,size=3 g / 0.11 oz|sku=3000198003,color=03 -Vampire,size=3 g / 0.11 oz|sku=3000198004,color=04 -Autumn Glaze,size=3 g / 0.11 oz|sku=3000198005,color=05 -Silver Chrome,size=3 g / 0.11 oz|sku=3000198006,color=06 -White Swan,size=3 g / 0.11 oz|sku=3000198007,color=07 -Dark Horse,size=3 g / 0.11 oz|sku=3000198008,color=08 -When in Rome,size=3 g / 0.11 oz|sku=3000198009,color=09 -Golden Clover,size=3 g / 0.11 oz|sku=3000198010,color=10 -Disco Bar,size=3 g / 0.11 oz|sku=3000198011,color=11 -Mistle Toe,size=3 g / 0.11 oz|sku=3000198012,color=12 -Candle Light,size=3 g / 0.11 oz|sku=3000198013,color=13 -Highness,size=3 g / 0.11 oz|sku=3000198014,color=14 -Glory,size=3 g / 0.11 oz|sku=3000198015,color=15 -Havana,size=3 g / 0.11 oz|sku=3000198016,color=16 -Mermaid,size=3 g / 0.11 oz|sku=3000198017,color=17 -Sunrise,size=3 g / 0.11 oz|sku=3000198018,color=18 -Ex -Affair,size=3 g / 0.11 oz|sku=3000198019,color=19 -Fireflies,size=3 g / 0.11 oz|sku=3000198020,color=20 -Lemon Tart,size=3 g / 0.11 oz|sku=3000198021,color=21 -Tassels,size=3 g / 0.11 oz|sku=3000198022,color=22 -Prom Night,size=3 g / 0.11 oz|sku=3000198023,color=23 -Green Alert,size=3 g / 0.11 oz|sku=3000198024,color=24 -Go Green,size=3 g / 0.11 oz|sku=3000198025,color=25 -Lime Zest,size=3 g / 0.11 oz|sku=3000198026,color=26 -Green Moss,size=3 g / 0.11 oz|sku=3000198027,color=27 -Fashion Police,size=3 g / 0.11 oz|sku=3000198028,color=28 -Ignited,size=3 g / 0.11 oz|sku=3000198029,color=29 -Think Pink,size=3 g / 0.11 oz|sku=3000198030,color=30 -Dear Diary,size=3 g / 0.11 oz|sku=3000198031,color=31 -Trust Issues,size=3 g / 0.11 oz|sku=3000198032,color=32 -Golden Hour,size=3 g / 0.11 oz|sku=3000198033,color=33 -Gold on Fire,size=3 g / 0.11 oz|sku=3000198034,color=34 -Seven Heavens,size=3 g / 0.11 oz|sku=3000198035,color=35 -Exclusive,size=3 g / 0.11 oz|sku=3000198036,color=36 -Drama Queen,size=3 g / 0.11 oz|sku=3000198037,color=37 -Party Mode,size=3 g / 0.11 oz|sku=3000198038,color=38 -Ocean View,size=3 g / 0.11 oz|sku=3000198039,color=39 -Sweet Dreams,size=3 g / 0.11 oz|sku=3000198040,color=40 -Pink Treat,size=3 g / 0.11 oz|sku=3000198041,color=41 -Wifey,size=3 g / 0.11 oz|sku=3000198042,color=42 -Cosmic Vibes,size=3 g / 0.11 oz|sku=3000198043,color=43 -B.A.E,size=3 g / 0.11 oz|sku=3000198044,color=44 -Tripping,size=3 g / 0.11 oz|sku=3000198045,color=45 -Mixed Feelings,size=3 g / 0.11 oz|sku=3000198046,color=46 -Girl Crush,size=3 g / 0.11 oz|sku=3000198047,color=47 -Going Banana,size=3 g / 0.11 oz|sku=3000198048,color=48 -Injected,size=3 g / 0.11 oz|sku=3000198049,color=49 -Breaking Rules,size=3 g / 0.11 oz|sku=3000198050,color=50 -Lime Soda,size=3 g / 0.11 oz|sku=3000198051,color=51 -1 in a Million,size=3 g / 0.11 oz|sku=3000198052,color=52 -Dope,size=3 g / 0.11 oz|sku=3000198053,color=53 -Kiss me in the dark,size=3 g / 0.11 oz"
